timestamp,hour,hour_sin,hour_cos,day_of_week,is_weekend,holiday_flag,special_event
2026-06-01 00:00:00,0.0,0.0,1.0,0,0,0,0
2026-06-01 00:05:00,0.08333333333333333,0.02181488503456112,0.9997620270799091,0,0,0,0
2026-06-01 00:10:00,0.16666666666666666,0.043619387365336,0.9990482215818578,0,0,0,0
2026-06-01 00:15:00,0.25,0.06540312923014306,0.9978589232386035,0,0,0,0
2026-06-01 00:20:00,0.3333333333333333,0.08715574274765817,0.9961946980917455,0,0,0,0
2026-06-01 00:25:00,0.4166666666666667,0.10886687485196457,0.9940563382223196,0,0,0,0
2026-06-01 00:30:00,0.5,0.13052619222005157,0.9914448613738104,0,0,0,0
2026-06-01 00:35:00,0.5833333333333334,0.15212338618991672,0.9883615104677607,0,0,0,0
2026-06-01 00:40:00,0.6666666666666666,0.17364817766693033,0.984807753012208,0,0,0,0
2026-06-01 00:45:00,0.75,0.19509032201612825,0.9807852804032304,0,0,0,0
2026-06-01 00:50:00,0.8333333333333334,0.21643961393810288,0.9762960071199334,0,0,0,0
2026-06-01 00:55:00,0.9166666666666666,0.23768589232617307,0.9713420698132614,0,0,0,0
2026-06-01 01:00:00,1.0,0.25881904510252074,0.9659258262890683,0,0,0,0
2026-06-01 01:05:00,1.0833333333333333,0.27982901403099203,0.9600498543859287,0,0,0,0
2026-06-01 01:10:00,1.1666666666666667,0.3007057995042732,0.9537169507482269,0,0,0,0
2026-06-01 01:15:00,1.25,0.3214394653031616,0.9469301294951057,0,0,0,0
2026-06-01 01:20:00,1.3333333333333333,0.3420201433256687,0.9396926207859084,0,0,0,0
2026-06-01 01:25:00,1.4166666666666667,0.36243803828370164,0.9320078692827986,0,0,0,0
2026-06-01 01:30:00,1.5,0.3826834323650898,0.9238795325112867,0,0,0,0
2026-06-01 01:35:00,1.5833333333333335,0.40274668985873724,0.9153114791194471,0,0,0,0
2026-06-01 01:40:00,1.6666666666666665,0.4226182617406994,0.9063077870366499,0,0,0,0
2026-06-01 01:45:00,1.75,0.44228869021900125,0.8968727415326884,0,0,0,0
2026-06-01 01:50:00,1.8333333333333335,0.46174861323503397,0.8870108331782217,0,0,0,0
2026-06-01 01:55:00,1.9166666666666665,0.48098876891938763,0.8767267557075077,0,0,0,0
2026-06-01 02:00:00,2.0,0.49999999999999994,0.8660254037844387,0,0,0,0
